اصطلاح,تعریف,دسته
استراتژی,جهت‌گیری روشن و تصمیم درباره‌ی این‌که کسب‌وکار کجا و چطور رقابت کند,متدولوژی
ساختار,سازمان، فرایندها و تیمی که توان اجرای استراتژی را دارند,متدولوژی
بازار,مجموعه‌ی برند، بازاریابی و فروشی که مشتری را به سمت کسب‌وکار می‌آورد,متدولوژی
اجرا,تبدیل برنامه به نتیجه‌ی واقعی و قابل‌اندازه‌گیری,متدولوژی
مدل کسب‌وکار,منطق ایجاد و کسب ارزش؛ این‌که چه ارزشی به چه کسی و چگونه فروخته می‌شود,مفاهیم
مزیت رقابتی,دلیلی که مشتری شما را به رقبا ترجیح می‌دهد و رقبا نمی‌توانند به‌سادگی کپی کنند,مفاهیم
ارزش پیشنهادی,قول روشن کسب‌وکار به مشتری درباره‌ی مشکلی که حل می‌کند,مفاهیم
نقشه‌ی راه,برنامه‌ی زمان‌بندی‌شده با اولویت‌های مشخص برای رسیدن به اهداف,فرایند
شاخص کلیدی عملکرد (KPI),معیار قابل‌اندازه‌گیری برای سنجش پیشرفت به سمت هدف,فرایند
قیف فروش,مسیر مرحله‌به‌مرحله‌ای که مشتری بالقوه تا خرید طی می‌کند,فروش
ورود به بازار,استراتژی و برنامه‌ی عرضه‌ی محصول یا خدمت به یک بازار جدید,فروش
بوم مدل کسب‌وکار,ابزار یک‌صفحه‌ای برای ترسیم اجزای اصلی مدل کسب‌وکار,ابزار
حاشیه‌ی سود,درصد سود باقی‌مانده از درآمد پس از کسر هزینه‌ها,مالی
مرحله‌ی کسب‌وکار,جایگاه فعلی کسب‌وکار: ایده، نوپا، در حال رشد یا تثبیت‌شده,مفاهیم
تشخیص اولیه,بررسی کوتاه برای شناسایی ضعیف‌ترین رکن و نقطه‌ی شروع درست,خدمات
